ageGroup,virus,u_death,R0,u_incubation,u_recovery,disability_weighting,u_death_natural,u_transmission
60-65,GX/P1E,0.0011819161942601276,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07691883496668216
65-70,GX/P1E,0.0018717521541870407,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07800547537742562
70-75,GX/P1E,0.002850105916406515,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07954659355013322
75+,GX/P1E,0.005878204790913614,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08431650233412123
0-5,SARS-CoV-1,6.222967377071773e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07515508721909095
5-10,SARS-CoV-1,1.0076572686354413e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07521578981361161
10-15,SARS-CoV-1,1.6279317510621924e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.0753134964217782
15-20,SARS-CoV-1,2.6709494835029673e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07547779420893794
20-25,SARS-CoV-1,4.2973199331585544e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07573398262996807
25-30,SARS-CoV-1,6.881647862850398e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07614107001394754
30-35,SARS-CoV-1,0.0010960345858501241,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07678355291173124
35-40,SARS-CoV-1,0.0017320720057046293,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07778544901936839
40-45,SARS-CoV-1,0.0027013224305007444,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07931222747235786
45-50,SARS-CoV-1,0.004090764063621807,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08150089769923133
50-55,SARS-CoV-1,0.005952108031366642,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08443291587621848
55-60,SARS-CoV-1,0.008262798398290012,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08807275154045462
60-65,SARS-CoV-1,0.010901610783199204,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.09222945014763717
65-70,SARS-CoV-1,0.013613884805954678,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.09650186667757286
70-75,SARS-CoV-1,0.01595539522778619,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.10019025057511372
75+,SARS-CoV-1,0.019082436267851655,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.10511601460827369
